id,pessimistic,pathlength,populationsize,numfittest,updatepathlength,mingeneration,average of wins,std
1,2,6,14,5,0,4,0.459,0.023
2,4,6,10,4,0,4,0.4575,0.0236378933
3,5,4,14,5,0,4,0.466,0.028
4,5,6,10,5,0,4,0.459,0.0320780299
5,5,6,13,4,1,5,0.451,0.0408533964
6,5,6,14,3,0,4,0.471,0.0175783958
7,5,6,14,5,0,4,0.461,0.0246779254
8,5,6,14,5,1,2,0.479,0.0211896201
9,5,6,14,5,1,4,0.463,0.0272213152
10,5,6,14,5,1,6,0.449,0.0413400532
11,5,6,14,7,0,4,0.474,0.0276405499
12,5,6,18,5,0,4,0.462,0.0345832329
13,5,8,14,5,0,4,0.453,0.0293428015
14,8,6,14,5,0,4,0.477,0.0219317122
